Ndiff,run,model
25.333333333333336,run34,Anthrax
75,run35,Anthrax
128.66666666666666,run36,Anthrax
98.66666666666667,run37,Anthrax
53,run38,Anthrax
31.666666666666664,run39,Anthrax
49,run40,Anthrax
119,run41,Anthrax
1.3333333333333335,run42,Anthrax
12.333333333333334,run43,Anthrax
28.333333333333332,run44,Anthrax
84.33333333333334,run45,Anthrax
67,run46,Anthrax
101.66666666666666,run47,Anthrax
51.33333333333333,run48,Anthrax
98,run49,Anthrax
80.33333333333333,run50,Anthrax
63.66666666666667,run51,Anthrax
9.333333333333334,run52,Anthrax
117,run53,Anthrax
191.33333333333334,run54,Anthrax
10.666666666666668,run55,Anthrax
83.33333333333334,run56,Anthrax
98,run57,Anthrax
97.66666666666667,run58,Anthrax
40,run59,Anthrax
98.66666666666667,run60,Anthrax
30.333333333333336,run61,Anthrax
74.66666666666667,run62,Anthrax
96.66666666666667,run63,Anthrax
41.333333333333336,run64,Anthrax
10.333333333333334,run65,Anthrax
73.66666666666667,run66,Anthrax
22.666666666666664,run67,Anthrax
22,run68,Anthrax
22,run69,Anthrax
37.333333333333336,run70,Anthrax
101.33333333333334,run71,Anthrax
38,run72,Anthrax
62.33333333333333,run73,Anthrax
68.33333333333333,run74,Anthrax
100,run75,Anthrax
69.33333333333334,run76,Anthrax
75.66666666666667,run77,Anthrax
2.3333333333333335,run78,Anthrax
2,run79,Anthrax
111.00000000000001,run80,Anthrax
-14.666666666666666,run81,Anthrax
-21.333333333333336,run82,Anthrax
98.33333333333333,run83,Anthrax
67.66666666666666,run84,Anthrax
39.666666666666664,run85,Anthrax
125.66666666666666,run86,Anthrax
98,run87,Anthrax
36.666666666666664,run88,Anthrax
94.66666666666667,run89,Anthrax
92.66666666666666,run90,Anthrax
80.33333333333333,run91,Anthrax
16.333333333333332,run92,Anthrax
29.666666666666668,run93,Anthrax
45.33333333333333,run94,Anthrax
54.666666666666664,run95,Anthrax
74.66666666666667,run96,Anthrax
14.333333333333334,run97,Anthrax
105.66666666666666,run98,Anthrax
95.66666666666667,run99,Anthrax
56.00000000000001,run100,Anthrax
-86,run1,bTB
-85.33333333333334,run2,bTB
-77,run3,bTB
-84.66666666666667,run4,bTB
-78,run5,bTB
-84,run6,bTB
-72.66666666666667,run7,bTB
-80.66666666666666,run8,bTB
-74.33333333333333,run9,bTB
-70.33333333333334,run10,bTB
-73.66666666666667,run11,bTB
-80.33333333333333,run12,bTB
-58.333333333333336,run13,bTB
-63,run14,bTB
-86.66666666666667,run15,bTB
-63.33333333333333,run16,bTB
-83,run17,bTB
-67.33333333333333,run18,bTB
-84.66666666666667,run19,bTB
-65.33333333333333,run20,bTB
-71.33333333333334,run21,bTB
-48.333333333333336,run22,bTB
-54,run23,bTB
-77.33333333333333,run24,bTB
-78.66666666666666,run25,bTB
-85,run26,bTB
