Ndiff,run,model,transmit
-79.66666667,run69,bTB,FD
-75.66666667,run70,bTB,FD
-65,run71,bTB,FD
-95.33333333,run72,bTB,FD
-83.66666667,run73,bTB,FD
-74.33333333,run74,bTB,FD
-79.33333333,run75,bTB,FD
-59,run76,bTB,FD
-74.66666667,run77,bTB,FD
-71.66666667,run78,bTB,FD
-72.33333333,run79,bTB,FD
-83.66666667,run80,bTB,FD
-58.66666667,run81,bTB,FD
-85,run82,bTB,FD
-62,run83,bTB,FD
-72.33333333,run84,bTB,FD
-57.66666667,run85,bTB,FD
-71.33333333,run86,bTB,FD
-86,run87,bTB,FD
-64,run88,bTB,FD
-93.66666667,run89,bTB,FD
-59.66666667,run90,bTB,FD
-49,run91,bTB,FD
-74.33333333,run92,bTB,FD
-55.66666667,run93,bTB,FD
-81.66666667,run94,bTB,FD
-67.66666667,run95,bTB,FD
-71,run96,bTB,FD
-97,run97,bTB,FD
-86.33333333,run98,bTB,FD
-84,run99,bTB,FD
-68.66666667,run100,bTB,FD
118.6666667,run1,HS,FD
151.3333333,run2,HS,FD
89.33333333,run3,HS,FD
95.33333333,run4,HS,FD
220,run5,HS,FD
69.33333333,run6,HS,FD
30.66666667,run7,HS,FD
135.3333333,run8,HS,FD
73,run9,HS,FD
133.6666667,run10,HS,FD
97,run11,HS,FD
143.3333333,run12,HS,FD
65.33333333,run13,HS,FD
228.6666667,run14,HS,FD
130.3333333,run15,HS,FD
106.6666667,run16,HS,FD
175.6666667,run17,HS,FD
85.66666667,run18,HS,FD
108.3333333,run19,HS,FD
47.33333333,run20,HS,FD
141,run21,HS,FD
116.6666667,run22,HS,FD
164,run23,HS,FD
102.6666667,run24,HS,FD
274.6666667,run25,HS,FD
129,run26,HS,FD
233,run27,HS,FD
95.33333333,run28,HS,FD
139,run29,HS,FD
266,run30,HS,FD
33.66666667,run31,HS,FD
191.6666667,run32,HS,FD
130,run33,HS,FD
221,run34,HS,FD
144.6666667,run35,HS,FD
114.3333333,run36,HS,FD
77,run37,HS,FD
244.3333333,run38,HS,FD
87,run39,HS,FD
158,run40,HS,FD
250.6666667,run41,HS,FD
175,run42,HS,FD
37.33333333,run43,HS,FD
221.3333333,run44,HS,FD
155,run45,HS,FD
122.3333333,run46,HS,FD
152,run47,HS,FD
46,run48,HS,FD
220,run49,HS,FD
134.6666667,run50,HS,FD
152.6666667,run51,HS,FD
104,run52,HS,FD
153.3333333,run53,HS,FD
130.3333333,run54,HS,FD
150.3333333,run55,HS,FD
62.33333333,run56,HS,FD
131,run57,HS,FD
277,run58,HS,FD
165.3333333,run59,HS,FD
220.3333333,run60,HS,FD
203.6666667,run61,HS,FD
220,run62,HS,FD
182.3333333,run63,HS,FD
104.3333333,run64,HS,FD
83,run65,HS,FD
