Ndiff,run,model,transmit
272.6666667,run83,no infection,no
199,run84,no infection,no
305,run85,no infection,no
247,run86,no infection,no
213,run87,no infection,no
323.6666667,run88,no infection,no
246.3333333,run89,no infection,no
298.6666667,run90,no infection,no
228.6666667,run91,no infection,no
417.3333333,run92,no infection,no
175.6666667,run93,no infection,no
219,run94,no infection,no
157,run95,no infection,no
183.6666667,run96,no infection,no
164.6666667,run97,no infection,no
235.6666667,run98,no infection,no
243,run99,no infection,no
92,run100,no infection,no
132,run1,Anthrax,FD
170.3333333,run2,Anthrax,FD
68,run3,Anthrax,FD
85.33333333,run4,Anthrax,FD
4.333333333,run5,Anthrax,FD
42,run6,Anthrax,FD
105.6666667,run7,Anthrax,FD
13,run8,Anthrax,FD
132.6666667,run9,Anthrax,FD
-4.333333333,run10,Anthrax,FD
137.3333333,run11,Anthrax,FD
144.6666667,run12,Anthrax,FD
19.66666667,run13,Anthrax,FD
-3,run14,Anthrax,FD
23.66666667,run15,Anthrax,FD
0.666666667,run16,Anthrax,FD
-20.33333333,run17,Anthrax,FD
75,run18,Anthrax,FD
21.33333333,run19,Anthrax,FD
-20.33333333,run20,Anthrax,FD
95.66666667,run21,Anthrax,FD
67.66666667,run22,Anthrax,FD
34.33333333,run23,Anthrax,FD
-64,run24,Anthrax,FD
-17.66666667,run25,Anthrax,FD
63.66666667,run26,Anthrax,FD
119.3333333,run27,Anthrax,FD
25.66666667,run28,Anthrax,FD
57.66666667,run29,Anthrax,FD
78,run30,Anthrax,FD
88.33333333,run31,Anthrax,FD
24.33333333,run32,Anthrax,FD
108,run33,Anthrax,FD
25.33333333,run34,Anthrax,FD
75,run35,Anthrax,FD
128.6666667,run36,Anthrax,FD
98.66666667,run37,Anthrax,FD
53,run38,Anthrax,FD
31.66666667,run39,Anthrax,FD
49,run40,Anthrax,FD
119,run41,Anthrax,FD
1.333333333,run42,Anthrax,FD
12.33333333,run43,Anthrax,FD
28.33333333,run44,Anthrax,FD
84.33333333,run45,Anthrax,FD
67,run46,Anthrax,FD
101.6666667,run47,Anthrax,FD
51.33333333,run48,Anthrax,FD
98,run49,Anthrax,FD
80.33333333,run50,Anthrax,FD
63.66666667,run51,Anthrax,FD
9.333333333,run52,Anthrax,FD
117,run53,Anthrax,FD
191.3333333,run54,Anthrax,FD
10.66666667,run55,Anthrax,FD
83.33333333,run56,Anthrax,FD
98,run57,Anthrax,FD
97.66666667,run58,Anthrax,FD
40,run59,Anthrax,FD
98.66666667,run60,Anthrax,FD
30.33333333,run61,Anthrax,FD
74.66666667,run62,Anthrax,FD
96.66666667,run63,Anthrax,FD
41.33333333,run64,Anthrax,FD
10.33333333,run65,Anthrax,FD
73.66666667,run66,Anthrax,FD
22.66666667,run67,Anthrax,FD
22,run68,Anthrax,FD
22,run69,Anthrax,FD
37.33333333,run70,Anthrax,FD
101.3333333,run71,Anthrax,FD
38,run72,Anthrax,FD
62.33333333,run73,Anthrax,FD
68.33333333,run74,Anthrax,FD
100,run75,Anthrax,FD
69.33333333,run76,Anthrax,FD
75.66666667,run77,Anthrax,FD
2.333333333,run78,Anthrax,FD
2,run79,Anthrax,FD
111,run80,Anthrax,FD
-14.66666667,run81,Anthrax,FD
-21.33333333,run82,Anthrax,FD
98.33333333,run83,Anthrax,FD
67.66666667,run84,Anthrax,FD
39.66666667,run85,Anthrax,FD
125.6666667,run86,Anthrax,FD
98,run87,Anthrax,FD
36.66666667,run88,Anthrax,FD
94.66666667,run89,Anthrax,FD
92.66666667,run90,Anthrax,FD
80.33333333,run91,Anthrax,FD
16.33333333,run92,Anthrax,FD
29.66666667,run93,Anthrax,FD
45.33333333,run94,Anthrax,FD
54.66666667,run95,Anthrax,FD
74.66666667,run96,Anthrax,FD
14.33333333,run97,Anthrax,FD
105.6666667,run98,Anthrax,FD
95.66666667,run99,Anthrax,FD
56,run100,Anthrax,FD
-86,run1,bTB,FD
-85.33333333,run2,bTB,FD
-77,run3,bTB,FD
-84.66666667,run4,bTB,FD
-78,run5,bTB,FD
-84,run6,bTB,FD
-72.66666667,run7,bTB,FD
-80.66666667,run8,bTB,FD
-74.33333333,run9,bTB,FD
-70.33333333,run10,bTB,FD
-73.66666667,run11,bTB,FD
-80.33333333,run12,bTB,FD
-58.33333333,run13,bTB,FD
-63,run14,bTB,FD
-86.66666667,run15,bTB,FD
-63.33333333,run16,bTB,FD
-83,run17,bTB,FD
-67.33333333,run18,bTB,FD
-84.66666667,run19,bTB,FD
-65.33333333,run20,bTB,FD
-71.33333333,run21,bTB,FD
-48.33333333,run22,bTB,FD
-54,run23,bTB,FD
-77.33333333,run24,bTB,FD
-78.66666667,run25,bTB,FD
-85,run26,bTB,FD
-68,run27,bTB,FD
-70,run28,bTB,FD
-57.33333333,run29,bTB,FD
-66.66666667,run30,bTB,FD
-74.33333333,run31,bTB,FD
-59,run32,bTB,FD
-81.66666667,run33,bTB,FD
-90,run34,bTB,FD
-91.33333333,run35,bTB,FD
-72.66666667,run36,bTB,FD
-83,run37,bTB,FD
-63.66666667,run38,bTB,FD
-82,run39,bTB,FD
-81,run40,bTB,FD
-72,run41,bTB,FD
-83.66666667,run42,bTB,FD
-84.33333333,run43,bTB,FD
-61.66666667,run44,bTB,FD
-74,run45,bTB,FD
-63,run46,bTB,FD
-75,run47,bTB,FD
-82.33333333,run48,bTB,FD
-70.33333333,run49,bTB,FD
-83,run50,bTB,FD
-64.33333333,run51,bTB,FD
-66.33333333,run52,bTB,FD
-76.33333333,run53,bTB,FD
-66.66666667,run54,bTB,FD
-66.66666667,run55,bTB,FD
-57.33333333,run56,bTB,FD
-69,run57,bTB,FD
-72.66666667,run58,bTB,FD
-75,run59,bTB,FD
-57.33333333,run60,bTB,FD
-65.33333333,run61,bTB,FD
-62.66666667,run62,bTB,FD
-77,run63,bTB,FD
-88.66666667,run64,bTB,FD
-70,run65,bTB,FD
-72.66666667,run66,bTB,FD
-90.33333333,run67,bTB,FD
-73,run68,bTB,FD
-79.66666667,run69,bTB,FD
-75.66666667,run70,bTB,FD
-65,run71,bTB,FD
-95.33333333,run72,bTB,FD
-83.66666667,run73,bTB,FD
-74.33333333,run74,bTB,FD
-79.33333333,run75,bTB,FD
-59,run76,bTB,FD
-74.66666667,run77,bTB,FD
-71.66666667,run78,bTB,FD
-72.33333333,run79,bTB,FD
-83.66666667,run80,bTB,FD
-58.66666667,run81,bTB,FD
-85,run82,bTB,FD
-62,run83,bTB,FD
-72.33333333,run84,bTB,FD
-57.66666667,run85,bTB,FD
-71.33333333,run86,bTB,FD
-86,run87,bTB,FD
-64,run88,bTB,FD
-93.66666667,run89,bTB,FD
-59.66666667,run90,bTB,FD
-49,run91,bTB,FD
