Ndiff,run,model,transmit
51.66666666666667,run63,Anthrax,DD
55.00000000000001,run64,Anthrax,DD
-12,run65,Anthrax,DD
76,run66,Anthrax,DD
-3.6666666666666665,run67,Anthrax,DD
37.666666666666664,run68,Anthrax,DD
41,run69,Anthrax,DD
13.666666666666666,run70,Anthrax,DD
46.666666666666664,run71,Anthrax,DD
55.333333333333336,run72,Anthrax,DD
65.33333333333333,run73,Anthrax,DD
50,run74,Anthrax,DD
96.66666666666667,run75,Anthrax,DD
66.66666666666666,run76,Anthrax,DD
71.33333333333334,run77,Anthrax,DD
16.333333333333332,run78,Anthrax,DD
33,run79,Anthrax,DD
104.33333333333333,run80,Anthrax,DD
-9.333333333333334,run81,Anthrax,DD
-5.666666666666666,run82,Anthrax,DD
122.66666666666666,run83,Anthrax,DD
39.33333333333333,run84,Anthrax,DD
41.66666666666667,run85,Anthrax,DD
68,run86,Anthrax,DD
6.333333333333334,run87,Anthrax,DD
-33.666666666666664,run88,Anthrax,DD
76,run89,Anthrax,DD
88,run90,Anthrax,DD
69,run91,Anthrax,DD
92,run92,Anthrax,DD
7.333333333333333,run93,Anthrax,DD
67.33333333333333,run94,Anthrax,DD
100.66666666666666,run95,Anthrax,DD
27.666666666666668,run96,Anthrax,DD
-7.000000000000001,run97,Anthrax,DD
47.333333333333336,run98,Anthrax,DD
89.33333333333333,run99,Anthrax,DD
16,run100,Anthrax,DD
-95.66666666666667,run1,bTB,DD
-93.33333333333333,run2,bTB,DD
-66,run3,bTB,DD
-93.66666666666667,run4,bTB,DD
-75,run5,bTB,DD
-93,run6,bTB,DD
-88.66666666666667,run7,bTB,DD
-84,run8,bTB,DD
-97.33333333333334,run9,bTB,DD
-91.33333333333333,run10,bTB,DD
-87.33333333333333,run11,bTB,DD
-86.33333333333333,run12,bTB,DD
-88.33333333333333,run13,bTB,DD
-85.33333333333334,run14,bTB,DD
-84,run15,bTB,DD
-75,run16,bTB,DD
-79.33333333333333,run17,bTB,DD
-94.66666666666667,run18,bTB,DD
-84,run19,bTB,DD
-76.66666666666667,run20,bTB,DD
-91.66666666666666,run21,bTB,DD
-95,run22,bTB,DD
-90.33333333333333,run23,bTB,DD
-87.33333333333333,run24,bTB,DD
-97.66666666666667,run25,bTB,DD
-86,run26,bTB,DD
-86.33333333333333,run27,bTB,DD
-87,run28,bTB,DD
-82.33333333333334,run29,bTB,DD
-92,run30,bTB,DD
-99,run31,bTB,DD
-83,run32,bTB,DD
-83,run33,bTB,DD
-93.33333333333333,run34,bTB,DD
-84,run35,bTB,DD
-90,run36,bTB,DD
-93,run37,bTB,DD
-83,run38,bTB,DD
-93.66666666666667,run39,bTB,DD
-92,run40,bTB,DD
-94.33333333333334,run41,bTB,DD
-83,run42,bTB,DD
-89.33333333333333,run43,bTB,DD
-77,run44,bTB,DD
-90.33333333333333,run45,bTB,DD
-89,run46,bTB,DD
-96.33333333333334,run47,bTB,DD
-94.66666666666667,run48,bTB,DD
-86.33333333333333,run49,bTB,DD
-82.66666666666667,run50,bTB,DD
-93.66666666666667,run51,bTB,DD
-87,run52,bTB,DD
-82.66666666666667,run53,bTB,DD
-94.66666666666667,run54,bTB,DD
-92,run55,bTB,DD
-85,run56,bTB,DD
-94.66666666666667,run57,bTB,DD
-92.66666666666666,run58,bTB,DD
-96.66666666666667,run59,bTB,DD
-82,run60,bTB,DD
-94.66666666666667,run61,bTB,DD
-90.66666666666666,run62,bTB,DD
-80.33333333333333,run63,bTB,DD
-96.66666666666667,run64,bTB,DD
-88,run65,bTB,DD
-90.66666666666666,run66,bTB,DD
-83.33333333333334,run67,bTB,DD
-95.66666666666667,run68,bTB,DD
-88.66666666666667,run69,bTB,DD
-84.66666666666667,run70,bTB,DD
-94.33333333333334,run71,bTB,DD
-88,run72,bTB,DD
-95.66666666666667,run73,bTB,DD
-90.66666666666666,run74,bTB,DD
-93.66666666666667,run75,bTB,DD
-87.33333333333333,run76,bTB,DD
-94.33333333333334,run77,bTB,DD
-94.33333333333334,run78,bTB,DD
-84.66666666666667,run79,bTB,DD
-88.33333333333333,run80,bTB,DD
-91.33333333333333,run81,bTB,DD
-90.66666666666666,run82,bTB,DD
-95.66666666666667,run83,bTB,DD
-94.33333333333334,run84,bTB,DD
-93.66666666666667,run85,bTB,DD
-93.66666666666667,run86,bTB,DD
-92.33333333333333,run87,bTB,DD
-89,run88,bTB,DD
-95,run89,bTB,DD
-94.66666666666667,run90,bTB,DD
-94,run91,bTB,DD
-90.66666666666666,run92,bTB,DD
-88.66666666666667,run93,bTB,DD
-94.66666666666667,run94,bTB,DD
